cate,year,mean,median
mean_food,100,28392,23778
mean_food,101,27917,23402
mean_food,102,27813,23531
mean_food,103,28810,24419
mean_food,104,29218,25090
mean_com,100,65627,49342
mean_com,101,66840,50283
mean_com,102,64794,48617
mean_com,103,65591,49051
mean_com,104,65519,48826
mean_finan,100,71485,54485
mean_finan,101,72024,55275
mean_finan,102,72880,56094
mean_finan,103,76416,58752
mean_finan,104,76668,58540
mean_design,100,52064,39350
mean_design,101,52809,39784
mean_design,102,52436,39548
mean_design,103,53791,40129
mean_design,104,54549,40790
mean_edu,100,38436,31945
mean_edu,101,38091,31927
mean_edu,102,36242,30300
mean_edu,103,37878,31752
mean_edu,104,36003,30332
mean_doc,100,65407,49673
mean_doc,101,66108,50962
mean_doc,102,64177,48998
mean_doc,103,66677,50572
mean_doc,104,66836,50741
total,100,44963,33300
total,101,45308,33858
total,102,44810,33418
total,103,46617,34577
total,104,47809,35138
